People,Families,Locations,Events,TextChunk
Laura Luong,Sales,"Berlin, Germany",Joined Team Building Offsite in Da Nang,"Laura Luong is part of the Sales team, based in Berlin, Germany, and recently joined team building offsite in da nang."
Olivia Ton,Finance,"Beijing, China",Presented at Internal Innovation Day,"Olivia Ton is part of the Finance team, based in Beijing, China, and recently presented at internal innovation day."
Isaac Phan,Operations,Singapore,Joined Team Building Offsite in Da Nang,"Isaac Phan is part of the Operations team, based in Singapore, and recently joined team building offsite in da nang."
Diana Bui,Operations,"Mumbai, India",Engaged in Blockchain for Finance Webinar,"Diana Bui is part of the Operations team, based in Mumbai, India, and recently engaged in blockchain for finance webinar."
Quinn Chau,Management,"Sydney, Australia",Volunteered at Community Tech Fair,"Quinn Chau is part of the Management team, based in Sydney, Australia, and recently volunteered at community tech fair."
Edward Trinh,Engineering,"Tokyo, Japan",Participated in Corporate Social Responsibility Event,"Edward Trinh is part of the Engineering team, based in Tokyo, Japan, and recently participated in corporate social responsibility event."
Paul Truong,Customer Success,"New Delhi, India",Engaged in Blockchain for Finance Webinar,"Paul Truong is part of the Customer Success team, based in New Delhi, India, and recently engaged in blockchain for finance webinar."
Diana Ta,Product,"Sydney, Australia",Attended UX/UI Design Masterclass,"Diana Ta is part of the Product team, based in Sydney, Australia, and recently attended ux/ui design masterclass."
Victor Ly,Operations,"Bangalore, India",Joined Global Marketing Summit,"Victor Ly is part of the Operations team, based in Bangalore, India, and recently joined global marketing summit."
Kevin Ngo,Customer Success,Singapore,Participated in Corporate Social Responsibility Event,"Kevin Ngo is part of the Customer Success team, based in Singapore, and recently participated in corporate social responsibility event."
Isaac Ngo,Legal,"Melbourne, Australia",Attended UX/UI Design Masterclass,"Isaac Ngo is part of the Legal team, based in Melbourne, Australia, and recently attended ux/ui design masterclass."
Charlie Pham,Sales,Singapore,Joined Team Building Offsite in Da Nang,"Charlie Pham is part of the Sales team, based in Singapore, and recently joined team building offsite in da nang."
Olivia Ton,Operations,"Bangalore, India",Spoke at the Annual Finance Forum,"Olivia Ton is part of the Operations team, based in Bangalore, India, and recently spoke at the annual finance forum."
Charlie Bui,Management,"Manila, Philippines",Attended UX/UI Design Masterclass,"Charlie Bui is part of the Management team, based in Manila, Philippines, and recently attended ux/ui design masterclass."
George Do,Data Science,"Ho Chi Minh City, Vietnam",Engaged in Blockchain for Finance Webinar,"George Do is part of the Data Science team, based in Ho Chi Minh City, Vietnam, and recently engaged in blockchain for finance webinar."
Edward Luong,Product,"Sydney, Australia",Completed Leadership Training Bootcamp,"Edward Luong is part of the Product team, based in Sydney, Australia, and recently completed leadership training bootcamp."
Edward Dang,Product,Singapore,Joined Global Marketing Summit,"Edward Dang is part of the Product team, based in Singapore, and recently joined global marketing summit."
Quinn Truong,Operations,"Shanghai, China",Attended UX/UI Design Masterclass,"Quinn Truong is part of the Operations team, based in Shanghai, China, and recently attended ux/ui design masterclass."
Edward Trinh,Data Science,"Tokyo, Japan",Finished Data Analytics with Python Course,"Edward Trinh is part of the Data Science team, based in Tokyo, Japan, and recently finished data analytics with python course."
George Tran,Customer Success,"Beijing, China",Completed AWS Cloud Practitioner Certification,"George Tran is part of the Customer Success team, based in Beijing, China, and recently completed aws cloud practitioner certification."
Quinn Dang,Customer Success,"Hanoi, Vietnam",Completed Leadership Training Bootcamp,"Quinn Dang is part of the Customer Success team, based in Hanoi, Vietnam, and recently completed leadership training bootcamp."
Hannah Bui,Sales,"Bangalore, India",Presented at Internal Innovation Day,"Hannah Bui is part of the Sales team, based in Bangalore, India, and recently presented at internal innovation day."
Julia Ly,Engineering,"Seoul, South Korea",Finished Data Analytics with Python Course,"Julia Ly is part of the Engineering team, based in Seoul, South Korea, and recently finished data analytics with python course."
George Ly,Human Resources,"Seoul, South Korea",Joined Cross-Cultural Communication Workshop,"George Ly is part of the Human Resources team, based in Seoul, South Korea, and recently joined cross-cultural communication workshop."
Kevin Chau,Human Resources,"Paris, France",Engaged in Blockchain for Finance Webinar,"Kevin Chau is part of the Human Resources team, based in Paris, France, and recently engaged in blockchain for finance webinar."
Paul Chau,Product,"Manila, Philippines",Spoke at the Annual Finance Forum,"Paul Chau is part of the Product team, based in Manila, Philippines, and recently spoke at the annual finance forum."
Rachel Do,Legal,"New Delhi, India",Volunteered at Community Tech Fair,"Rachel Do is part of the Legal team, based in New Delhi, India, and recently volunteered at community tech fair."
Quinn Trinh,Engineering,"Jakarta, Indonesia",Completed Advanced Cybersecurity Training,"Quinn Trinh is part of the Engineering team, based in Jakarta, Indonesia, and recently completed advanced cybersecurity training."
Kevin Bui,Data Science,"Jakarta, Indonesia",Presented at Internal Innovation Day,"Kevin Bui is part of the Data Science team, based in Jakarta, Indonesia, and recently presented at internal innovation day."
Diana Bui,Operations,"Bangkok, Thailand",Joined International Business Roundtable,"Diana Bui is part of the Operations team, based in Bangkok, Thailand, and recently joined international business roundtable."
Alice Nguyen,Sales,Singapore,Completed Leadership Training Bootcamp,"Alice Nguyen is part of the Sales team, based in Singapore, and recently completed leadership training bootcamp."
Edward Phan,Product,"Shanghai, China",Spoke at the Annual Finance Forum,"Edward Phan is part of the Product team, based in Shanghai, China, and recently spoke at the annual finance forum."
Fiona Truong,Engineering,"Shanghai, China",Attended Agile Project Management Workshop,"Fiona Truong is part of the Engineering team, based in Shanghai, China, and recently attended agile project management workshop."
Charlie Vu,Operations,"Kuala Lumpur, Malaysia",Attended Agile Project Management Workshop,"Charlie Vu is part of the Operations team, based in Kuala Lumpur, Malaysia, and recently attended agile project management workshop."
Hannah Nguyen,Sales,"Kuala Lumpur, Malaysia",Finished Data Analytics with Python Course,"Hannah Nguyen is part of the Sales team, based in Kuala Lumpur, Malaysia, and recently finished data analytics with python course."
Kevin Trinh,Management,"Mumbai, India",Attended Remote Work Productivity Webinar,"Kevin Trinh is part of the Management team, based in Mumbai, India, and recently attended remote work productivity webinar."
Samuel Phan,Operations,"Jakarta, Indonesia",Completed Advanced Cybersecurity Training,"Samuel Phan is part of the Operations team, based in Jakarta, Indonesia, and recently completed advanced cybersecurity training."
Hannah Pham,Customer Success,"Tokyo, Japan",Joined Global Marketing Summit,"Hannah Pham is part of the Customer Success team, based in Tokyo, Japan, and recently joined global marketing summit."
Rachel Luong,Marketing,"Mumbai, India",Joined Cross-Cultural Communication Workshop,"Rachel Luong is part of the Marketing team, based in Mumbai, India, and recently joined cross-cultural communication workshop."
Alice Hoang,Marketing,"Bangkok, Thailand",Completed Advanced Cybersecurity Training,"Alice Hoang is part of the Marketing team, based in Bangkok, Thailand, and recently completed advanced cybersecurity training."
Paul Phan,Data Science,"London, UK",Attended AI for Business Leaders Webinar,"Paul Phan is part of the Data Science team, based in London, UK, and recently attended ai for business leaders webinar."
Victor Tran,Human Resources,"Kuala Lumpur, Malaysia",Joined Cross-Cultural Communication Workshop,"Victor Tran is part of the Human Resources team, based in Kuala Lumpur, Malaysia, and recently joined cross-cultural communication workshop."
Edward Trinh,Engineering,"Paris, France",Joined Global Marketing Summit,"Edward Trinh is part of the Engineering team, based in Paris, France, and recently joined global marketing summit."
Kevin Huynh,Management,"Kuala Lumpur, Malaysia",Attended AI for Business Leaders Webinar,"Kevin Huynh is part of the Management team, based in Kuala Lumpur, Malaysia, and recently attended ai for business leaders webinar."
Hannah Mai,Engineering,"Manila, Philippines",Presented at Internal Innovation Day,"Hannah Mai is part of the Engineering team, based in Manila, Philippines, and recently presented at internal innovation day."
Diana Nguyen,Product,"New Delhi, India",Completed AWS Cloud Practitioner Certification,"Diana Nguyen is part of the Product team, based in New Delhi, India, and recently completed aws cloud practitioner certification."
Tina Ton,Customer Success,"Mumbai, India",Attended AI for Business Leaders Webinar,"Tina Ton is part of the Customer Success team, based in Mumbai, India, and recently attended ai for business leaders webinar."
Edward Nguyen,Management,"Paris, France",Attended Remote Work Productivity Webinar,"Edward Nguyen is part of the Management team, based in Paris, France, and recently attended remote work productivity webinar."
Julia Do,Operations,"Hanoi, Vietnam",Joined Team Building Offsite in Da Nang,"Julia Do is part of the Operations team, based in Hanoi, Vietnam, and recently joined team building offsite in da nang."
